Embassy,Location,Neighborhood,Image,Notes,Flag_url,Image_url,Flag_height,Image_height,Flag_width,Image_width,Reference_url,Location_query,lat,lng
 Burkina Faso,2340 Massachusetts Avenue NW,Embassy Row,,25,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Flag_of_Burkina_Faso.svg/23px-Flag_of_Burkina_Faso.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Burkina_Faso%2C_Washington.JPG/150px-Burkina_Faso%2C_Washington.JPG,15,225,23,150,http://burkina-usa.org,"2340 Massachusetts Avenue NW, Washington, DC",38.9126695,-77.0519152
 Burundi,2233 Wisconsin Avenue NW,Glover Park,,26,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Flag_of_Burundi.svg/23px-Flag_of_Burundi.svg.png,https:,14,0,23,0,http://www.burundiembassydc-usa.org,"2233 Wisconsin Avenue NW, Washington, DC",38.9198899,-77.07074700000001
 Cambodia,4530 16th Street NW,Crestwood,,27,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Flag_of_Cambodia.svg/23px-Flag_of_Cambodia.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Cambodia-embassy2dc.jpg/150px-Cambodia-embassy2dc.jpg,15,113,23,150,http://www.embassyofcambodia.org,"4530 16th Street NW, Washington, DC",38.9458784,-77.0367914
 Cameroon,3400 International Dr. NW,North Cleveland Park,,28,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Flag_of_Cameroon.svg/23px-Flag_of_Cameroon.svg.png,https:,15,0,23,0,http://www.cameroonembassyusa.org,"3400 International Dr. NW, Washington, DC",38.9418195,-77.06424609999999
 Canada,501 Pennsylvania Avenue NW,Penn Quarter,,29,https://upload.wikimedia.org/wikipedia/en/thumb/c/cf/Flag_of_Canada.svg/23px-Flag_of_Canada.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Washington_DC_Botschaft_Kanada_Brunswyk_%282012%29.JPG/150px-Washington_DC_Botschaft_Kanada_Brunswyk_%282012%29.JPG,12,99,23,150,http://can-am.gc.ca/washington/index.aspx?lang=eng,"501 Pennsylvania Avenue NW, Washington, DC",38.8929359,-77.0185482
 Cape Verde,3415 Massachusetts Avenue NW,Embassy Row,,30,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Flag_of_Cape_Verde.svg/23px-Flag_of_Cape_Verde.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Embassy_of_Cape_Verde%2C_Washington%2C_D.C..jpg/150px-Embassy_of_Cape_Verde%2C_Washington%2C_D.C..jpg,14,109,23,150,http://www.embcv-usa.gov.cv,"3415 Massachusetts Avenue NW, Washington, DC",38.9250585,-77.0678241
 Central African Republic,2704 Ontario Rd NW,Adams Morgan,,31,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Flag_of_the_Central_African_Republic.svg/23px-Flag_of_the_Central_African_Republic.svg.png,https:,15,0,23,0,http://www.rcawashington.org,"2704 Ontario Rd NW, Washington, DC",38.9244496,-77.040536
 Chad,2401 Massachusetts Avenue NW,Embassy Row,,32,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Flag_of_Chad.svg/23px-Flag_of_Chad.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Embassy_of_Chad_%28Washington%2C_D.C.%29.JPG/150px-Embassy_of_Chad_%28Washington%2C_D.C.%29.JPG,15,130,23,150,http://www.chadembassy.us,"2401 Massachusetts Avenue NW, Washington, DC",38.9142565,-77.05291590000002
 Chile,1732 Massachusetts Avenue NW,Embassy Row,,33,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Flag_of_Chile.svg/23px-Flag_of_Chile.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Embassy_of_Chile_United_States.JPG/150px-Embassy_of_Chile_United_States.JPG,15,200,23,150,http://chileabroad.gov.cl/estados-unidos/en,"1732 Massachusetts Avenue NW, Washington, DC",38.9080604,-77.0399176
 China,3505 International Place NW,North Cleveland Park,,34,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Chinese_Embassy_Washington_3212.JPG/150px-Chinese_Embassy_Washington_3212.JPG,15,108,23,150,http://www.china-embassy.org/eng/,"3505 International Place NW, Washington, DC",38.942833,-77.06643
 Colombia,1724 Massachusetts Avenue NW,Embassy Row,,35,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Flag_of_Colombia.svg/23px-Flag_of_Colombia.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Embajada_de_Colombia%2C_Washington_D.C.jpg/150px-Embajada_de_Colombia%2C_Washington_D.C.jpg,15,204,23,150,http://www.colombiaemb.org,"1724 Massachusetts Avenue NW, Washington, DC",38.9078318,-77.0394902
" Congo, Republic of",1720 16th Street NW,Dupont Circle,,36,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_the_Republic_of_the_Congo.svg/23px-Flag_of_the_Republic_of_the_Congo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Toutorsky_Mansion.JPG/150px-Toutorsky_Mansion.JPG,15,122,23,150,http://www.ambacongo-us.org,"1720 16th Street NW, Washington, DC",38.9135085,-77.0369667
" Congo, Dem. Republic of","1800 New Hampshire Avenue, NW",Dupont Circle,,37,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Flag_of_the_Democratic_Republic_of_the_Congo.svg/20px-Flag_of_the_Democratic_Republic_of_the_Congo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Embassy_of_the_Democratic_Republic_of_the_Congo.JPG/150px-Embassy_of_the_Democratic_Republic_of_the_Congo.JPG,15,101,20,150,http://www.ambardcusa.org/index.html,"1800 New Hampshire Avenue, NW, Washington, DC",38.9143095,-77.03946780000001
 Costa Rica,2114 S Street NW,Kalorama,,38,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Flag_of_Costa_Rica.svg/23px-Flag_of_Costa_Rica.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Embassy_of_Costa_Rica%2C_Washington.jpg/150px-Embassy_of_Costa_Rica%2C_Washington.jpg,14,113,23,150,http://www.costarica-embassy.org,"2114 S Street NW, Washington, DC",38.9139055,-77.04786469999999
 Côte d'Ivoire,2424 Massachusetts Avenue NW,Embassy Row,,39,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_C%C3%B4te_d%27Ivoire.svg/23px-Flag_of_C%C3%B4te_d%27Ivoire.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Embassy_of_C%C3%B4te_d%27Ivoire_United_States.JPG/150px-Embassy_of_C%C3%B4te_d%27Ivoire_United_States.JPG,15,108,23,150,http://www.ambaciusa.org/Site/,"2424 Massachusetts Avenue NW, Washington, DC",38.9139338,-77.05379289999999
